,ID,item_id,item,sequence,n_DD_event,dd_event_sequence,source,target,n_DD_event_new,dd_event_sequence_new,source_new,target_new,clnddseq,clnddseq_len,Condition,D_D_TotalTimeSpent,TotalTimeSpentonItem,ItemResponse,ItemFinalScore,n_Condition,single_Condition,source1,source2,source3,source4,source5,target1,target2,target3,target4,target5,source_ascending,source_descending,target_ascending,target_descending,nunique_target,nunique_source,source_focus,target_focus,source_partial_ascending,source_partial_descending,source_partial_focus,target_partial_ascending,target_partial_descending,target_partial_focus,strategy,ItemFinalScoreBinary,new_strategy,pretest_final_score_total,logTime,itemtime,
2343,A15EZCN5OCG62,1c,1,start_s2;s2_t1;start_s1;s1_t3;start_s3;s3_t1;start_s4;s4_t3;start_s5;s5_t2,5,source2_to_target1;source1_to_target3;source3_to_target1;source4_to_target3;source5_to_target2,source2;source1;source3;source4;source5,target1;target3;target1;target3;target2,5,s2_t1;s1_t3;s3_t1;s4_t3;s5_t2,s2;s1;s3;s4;s5,t1;t3;t1;t3;t2,s2_t1;s1_t3;s3_t1;s4_t3;s5_t2,5,3,693.12143,49.4582,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,2,1,3,4,5,1,3,1,3,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,2,3.901127868,49.548,0.0898
2356,A15EZCN5OCG62,2c,2,start_s2;s2_t2;start_s3;s3_t2;start_s4;s4_t3;start_s5;s5_t1;start_s1;s1_t2,5,source2_to_target2;source3_to_target2;source4_to_target3;source5_to_target1;source1_to_target2,source2;source3;source4;source5;source1,target2;target2;target3;target1;target2,5,s2_t2;s3_t2;s4_t3;s5_t1;s1_t2,s2;s3;s4;s5;s1,t2;t2;t3;t1;t2,s2_t2;s3_t2;s4_t3;s5_t1;s1_t2,5,3,693.12143,81.00463,"{""target1"":[{""id"":""source5"",""sub"":""1""}],""target2"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""},{""id"":""source1"",""sub"":""3""}],""target3"":[{""id"":""source4"",""sub"":""1""}]}",0,1,1,2,3,4,5,1,2,2,3,1,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,0,Other,2,4.394506314,81.422,0.41737
2369,A15EZCN5OCG62,3c,3,start_s1;s1_t3;start_s2;s2_t1;start_s3;s3_t3;start_s4;s4_t2;start_s5;s5_t3,5,source1_to_target3;source2_to_target1;source3_to_target3;source4_to_target2;source5_to_target3,source1;source2;source3;source4;source5,target3;target1;target3;target2;target3,5,s1_t3;s2_t1;s3_t3;s4_t2;s5_t3,s1;s2;s3;s4;s5,t3;t1;t3;t2;t3,s1_t3;s2_t1;s3_t3;s4_t2;s5_t3,5,3,693.12143,69.72179,"{""target1"":[{""id"":""source2"",""sub"":""1""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""},{""id"":""source5"",""sub"":""3""}]}",2,1,1,1,2,3,4,5,3,1,3,2,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,2,4.244512894,70.387,0.66521
2382,A15EZCN5OCG62,4c,4,start_s5;s5_t3;start_s4;s4_t3;start_s3;s3_t2;start_s2;s2_t3;start_s1;return_s1;start_s2;move_s2_from_t3_t1;start_s1;s1_t3;start_s3;move_s3_from_t2_t1;start_s3;return_s3;start_s3;s3_t1,6,source5_to_target3;source4_to_target3;source3_to_target2;source2_to_target3;source1_to_target3;source3_to_target1,source5;source4;source3;source2;source1;source3,target3;target3;target2;target3;target3;target1,8,s5_t3;s4_t3;s3_t2;s2_t3;s2_t1;s1_t3;s3_t1;s3_t1,s5;s4;s3;s2;s2;s1;s3;s3,t3;t3;t2;t3;t1;t3;t1;t1,s5_t3;s4_t3;s3_t2;s2_t3;s1_t3,5,3,693.12143,189.7877,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[],""target3"":[{""id"":""source5"",""sub"":""1""},{""id"":""source4"",""sub"":""2""},{""id"":""source1"",""sub"":""3""}]}",0,1,1,5,4,3,2,1,3,3,2,3,3,FALSE,TRUE,FALSE,FALSE,2,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,0,Source Focus,2,5.245906079,189.92,0.1323
2405,A15EZCN5OCG62,5c,5,start_s5;s5_t1;start_s3;s3_t2;start_s2;s2_t3;start_s1;s1_t1;start_s4;s4_t3,5,source5_to_target1;source3_to_target2;source2_to_target3;source1_to_target1;source4_to_target3,source5;source3;source2;source1;source4,target1;target2;target3;target1;target3,5,s5_t1;s3_t2;s2_t3;s1_t1;s4_t3,s5;s3;s2;s1;s4,t1;t2;t3;t1;t3,s5_t1;s3_t2;s2_t3;s1_t1;s4_t3,5,3,693.12143,59.73592,"{""target1"":[{""id"":""source5"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,5,3,2,1,4,1,2,3,1,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,2,4.089933515,59.894,0.15808
2418,A15EZCN5OCG62,7c,7,start_s4;s4_t2;start_s5;s5_t3;start_s3;s3_t1;start_s2;s2_t3;start_s1;s1_t1,5,source4_to_target2;source5_to_target3;source3_to_target1;source2_to_target3;source1_to_target1,source4;source5;source3;source2;source1,target2;target3;target1;target3;target1,5,s4_t2;s5_t3;s3_t1;s2_t3;s1_t1,s4;s5;s3;s2;s1,t2;t3;t1;t3;t1,s4_t2;s5_t3;s3_t1;s2_t3;s1_t1,5,3,693.12143,41.64097,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source5"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}]}",2,1,1,4,5,3,2,1,2,3,1,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,TRUE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,2,3.729084538,41.299,-0.34197
2431,A15EZCN5OCG62,8c,8,start_s2;s2_t3;start_s1;s1_t2;start_s3;s3_t1;start_s4;s4_t3;start_s5;s5_t1;start_s1;return_s1;start_s1;return_s1;start_s1;s1_t2,6,source2_to_target3;source1_to_target2;source3_to_target1;source4_to_target3;source5_to_target1;source1_to_target2,source2;source1;source3;source4;source5;source1,target3;target2;target1;target3;target1;target2,6,s2_t3;s1_t2;s3_t1;s4_t3;s5_t1;s1_t2,s2;s1;s3;s4;s5;s1,t3;t2;t1;t3;t1;t2,s2_t3;s1_t2;s3_t1;s4_t3;s5_t1,5,3,693.12143,43.06568,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source1"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,2,1,3,4,5,3,2,1,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,2,3.762726392,43.364,0.29832
2450,A15EZCN5OCG62,9c,9,start_s2;s2_t2;start_s3;s3_t1;start_s4;s4_t1;start_s1;s1_t3;start_s5;s5_t3,5,source2_to_target2;source3_to_target1;source4_to_target1;source1_to_target3;source5_to_target3,source2;source3;source4;source1;source5,target2;target1;target1;target3;target3,5,s2_t2;s3_t1;s4_t1;s1_t3;s5_t3,s2;s3;s4;s1;s5,t2;t1;t1;t3;t3,s2_t2;s3_t1;s4_t1;s1_t3;s5_t3,5,3,693.12143,38.70123,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,2,3,4,1,5,2,1,1,3,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,2,3.655871382,39.344,0.64277
2463,A15JXW50UYKBG,10a,10,start_s2;return_s2;start_s5;s5_t2;start_s4;s4_t3;start_s3;s3_t1;start_s2;s2_t1;start_s1;s1_t3,5,source5_to_target2;source4_to_target3;source3_to_target1;source2_to_target1;source1_to_target3,source5;source4;source3;source2;source1,target2;target3;target1;target1;target3,5,s5_t2;s4_t3;s3_t1;s2_t1;s1_t3,s5;s4;s3;s2;s1,t2;t3;t1;t1;t3,s5_t2;s4_t3;s3_t1;s2_t1;s1_t3,5,1,486.404598,35.86749,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source4"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}]}",0,1,1,5,4,3,2,1,2,3,1,1,3,FALSE,TRUE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,0,Source Focus,4,3.579831314,34.758,-1.10949
2478,A15JXW50UYKBG,1a,1,start_s2;s2_t1;start_s3;s3_t1;start_s4;s4_t3;start_s1;s1_t3;start_s5;s5_t2,5,source2_to_target1;source3_to_target1;source4_to_target3;source1_to_target3;source5_to_target2,source2;source3;source4;source1;source5,target1;target1;target3;target3;target2,5,s2_t1;s3_t1;s4_t3;s1_t3;s5_t2,s2;s3;s4;s1;s5,t1;t1;t3;t3;t2,s2_t1;s3_t1;s4_t3;s1_t3;s5_t2,5,1,486.404598,26.87824,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source4"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}]}",2,1,1,2,3,4,1,5,1,1,3,3,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,4,3.291317037,26.113,-0.76524
2491,A15JXW50UYKBG,3a,3,start_s4;s4_t3;start_s2;s2_t3;start_s1;s1_t1;start_s1;s1_t3;start_s2;s2_t2;start_s3;s3_t2;start_s3;move_s3_from_t2_t3;start_s4;s4_t2;start_s5;s5_t1,8,source4_to_target3;source2_to_target3;source1_to_target1;source1_to_target3;source2_to_target2;source3_to_target2;source4_to_target2;source5_to_target1,source4;source2;source1;source1;source2;source3;source4;source5,target3;target3;target1;target3;target2;target2;target2;target1,9,s4_t3;s2_t3;s1_t1;s1_t3;s2_t2;s3_t2;s3_t3;s4_t2;s5_t1,s4;s2;s1;s1;s2;s3;s3;s4;s5,t3;t3;t1;t3;t2;t2;t3;t2;t1,s4_t3;s2_t3;s1_t1;s3_t2;s5_t1,5,1,486.404598,104.1383,"{""target1"":[{""id"":""source5"",""sub"":""1""}],""target2"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}]}",0,1,1,4,2,1,3,5,3,3,1,2,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,0,Other,4,4.645719823,104.34,0.2017
2506,A15JXW50UYKBG,4a,4,start_s3;s3_t2;start_s2;s2_t3;start_s5;s5_t3;start_s4;s4_t1;start_s1;s1_t1,5,source3_to_target2;source2_to_target3;source5_to_target3;source4_to_target1;source1_to_target1,source3;source2;source5;source4;source1,target2;target3;target3;target1;target1,5,s3_t2;s2_t3;s5_t3;s4_t1;s1_t1,s3;s2;s5;s4;s1,t2;t3;t3;t1;t1,s3_t2;s2_t3;s5_t3;s4_t1;s1_t1,5,1,486.404598,63.95476,"{""target1"":[{""id"":""source4"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,3,2,5,4,1,2,3,3,1,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,4,4.158175958,63.682,-0.27276
2519,A15JXW50UYKBG,5a,5,start_s1;s1_t1;start_s2;s2_t3;start_s3;s3_t2;start_s4;s4_t3;start_s5;s5_t1,5,source1_to_target1;source2_to_target3;source3_to_target2;source4_to_target3;source5_to_target1,source1;source2;source3;source4;source5,target1;target3;target2;target3;target1,5,s1_t1;s2_t3;s3_t2;s4_t3;s5_t1,s1;s2;s3;s4;s5,t1;t3;t2;t3;t1,s1_t1;s2_t3;s3_t2;s4_t3;s5_t1,5,1,486.404598,118.744,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,1,3,2,3,1,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,4,4.776969915,119.086,0.342
2532,A15JXW50UYKBG,6a,6,start_s1;s1_t3;start_s4;s4_t2;start_s5;s5_t1;start_s2;s2_t3;start_s3;s3_t1,5,source1_to_target3;source4_to_target2;source5_to_target1;source2_to_target3;source3_to_target1,source1;source4;source5;source2;source3,target3;target2;target1;target3;target1,5,s1_t3;s4_t2;s5_t1;s2_t3;s3_t1,s1;s4;s5;s2;s3,t3;t2;t1;t3;t1,s1_t3;s4_t2;s5_t1;s2_t3;s3_t1,5,1,486.404598,10.10284,"{""target1"":[{""id"":""source5"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}]}",2,1,1,1,4,5,2,3,3,2,1,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,4,2.312816572,10.309,0.20616
2545,A15JXW50UYKBG,8a,8,start_s3;s3_t1;start_s1;s1_t2;start_s4;s4_t3;start_s2;s2_t3;start_s5;s5_t1,5,source3_to_target1;source1_to_target2;source4_to_target3;source2_to_target3;source5_to_target1,source3;source1;source4;source2;source5,target1;target2;target3;target3;target1,5,s3_t1;s1_t2;s4_t3;s2_t3;s5_t1,s3;s1;s4;s2;s5,t1;t2;t3;t3;t1,s3_t1;s1_t2;s4_t3;s2_t3;s5_t1,5,1,486.404598,15.90485,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source1"",""sub"":""1""}],""target3"":[{""id"":""source4"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}]}",2,1,1,3,1,4,2,5,1,2,3,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,4,2.766624094,15.926,0.02115
2558,A15JXW50UYKBG,9a,9,start_s1;s1_t3;start_s2;s2_t2;start_s3;s3_t1;start_s4;s4_t2;start_s5;s5_t3;start_s4;move_s4_from_t2_t1,5,source1_to_target3;source2_to_target2;source3_to_target1;source4_to_target2;source5_to_target3,source1;source2;source3;source4;source5,target3;target2;target1;target2;target3,6,s1_t3;s2_t2;s3_t1;s4_t2;s5_t3;s4_t1,s1;s2;s3;s4;s5;s4,t3;t2;t1;t2;t3;t1,s1_t3;s2_t2;s3_t1;s4_t2;s5_t3,5,1,486.404598,19.49453,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,2,1,2,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,4,2.970133913,19.658,0.16347
2573,A15Y215D57OSO,10e,10,start_s2;s2_t1;start_s1;s1_t3;start_s3;s3_t3;start_s4;s4_t2;start_s5;s5_t1,5,source2_to_target1;source1_to_target3;source3_to_target3;source4_to_target2;source5_to_target1,source2;source1;source3;source4;source5,target1;target3;target3;target2;target1,5,s2_t1;s1_t3;s3_t3;s4_t2;s5_t1,s2;s1;s3;s4;s5,t1;t3;t3;t2;t1,s2_t1;s1_t3;s3_t3;s4_t2;s5_t1,5,5,197.49284,16.1138,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}]}",2,1,1,2,1,3,4,5,1,3,3,2,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,9,2.779676048,14.173,-1.9408
2586,A15Y215D57OSO,1e,1,start_s3;s3_t1;start_s4;s4_t3;start_s5;s5_t2;start_s2;s2_t1;start_s1;s1_t3,5,source3_to_target1;source4_to_target3;source5_to_target2;source2_to_target1;source1_to_target3,source3;source4;source5;source2;source1,target1;target3;target2;target1;target3,5,s3_t1;s4_t3;s5_t2;s2_t1;s1_t3,s3;s4;s5;s2;s1,t1;t3;t2;t1;t3,s3_t1;s4_t3;s5_t2;s2_t1;s1_t3,5,5,197.49284,10.1314,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source2"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source4"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}]}",2,1,1,3,4,5,2,1,1,3,2,1,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,TRUE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,9,2.315639512,9.484,-0.6474
2599,A15Y215D57OSO,2e,2,start_s1;s1_t2;start_s5;s5_t3;start_s4;s4_t1;start_s1;move_s1_from_t2_t3;start_s2;s2_t2;start_s3;s3_t2;start_s3;return_s3;start_s3;s3_t1,6,source1_to_target2;source5_to_target3;source4_to_target1;source2_to_target2;source3_to_target2;source3_to_target1,source1;source5;source4;source2;source3;source3,target2;target3;target1;target2;target2;target1,7,s1_t2;s5_t3;s4_t1;s1_t3;s2_t2;s3_t2;s3_t1,s1;s5;s4;s1;s2;s3;s3,t2;t3;t1;t3;t2;t2;t1,s1_t2;s5_t3;s4_t1;s2_t2;s3_t2,5,5,197.49284,54.82051,"{""target1"":[{""id"":""source4"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source5"",""sub"":""1""},{""id"":""source1"",""sub"":""2""}]}",2,1,1,1,5,4,2,3,2,3,1,2,2,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,9,4.004064394,53.225,-1.59551
2618,A15Y215D57OSO,3e,3,start_s2;s2_t1;start_s1;s1_t3;start_s3;s3_t3;start_s4;s4_t2;start_s5;s5_t3,5,source2_to_target1;source1_to_target3;source3_to_target3;source4_to_target2;source5_to_target3,source2;source1;source3;source4;source5,target1;target3;target3;target2;target3,5,s2_t1;s1_t3;s3_t3;s4_t2;s5_t3,s2;s1;s3;s4;s5,t1;t3;t3;t2;t3,s2_t1;s1_t3;s3_t3;s4_t2;s5_t3,5,5,197.49284,23.15454,"{""target1"":[{""id"":""source2"",""sub"":""1""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""},{""id"":""source5"",""sub"":""3""}]}",2,1,1,2,1,3,4,5,1,3,3,2,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,9,3.142190874,23.585,0.43046
2631,A15Y215D57OSO,4e,4,start_s1;s1_t1;start_s2;s2_t3;start_s3;s3_t2;start_s4;s4_t2;start_s4;move_s4_from_t2_t1;start_s5;s5_t3,5,source1_to_target1;source2_to_target3;source3_to_target2;source4_to_target2;source5_to_target3,source1;source2;source3;source4;source5,target1;target3;target2;target2;target3,6,s1_t1;s2_t3;s3_t2;s4_t2;s4_t1;s5_t3,s1;s2;s3;s4;s4;s5,t1;t3;t2;t2;t1;t3,s1_t1;s2_t3;s3_t2;s4_t2;s5_t3,5,5,197.49284,21.16187,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,1,3,2,2,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,9,3.052200977,21.927,0.76513
2646,A15Y215D57OSO,5e,5,start_s1;s1_t1;start_s2;s2_t3;start_s3;s3_t2;start_s4;s4_t3;start_s5;s5_t1,5,source1_to_target1;source2_to_target3;source3_to_target2;source4_to_target3;source5_to_target1,source1;source2;source3;source4;source5,target1;target3;target2;target3;target1,5,s1_t1;s2_t3;s3_t2;s4_t3;s5_t1,s1;s2;s3;s4;s5,t1;t3;t2;t3;t1,s1_t1;s2_t3;s3_t2;s4_t3;s5_t1,5,5,197.49284,13.79727,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source3"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,1,3,2,3,1,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,9,2.624470747,13.574,-0.22327
2659,A15Y215D57OSO,7e,7,start_s1;s1_t1;start_s2;s2_t3;start_s4;s4_t2;start_s5;s5_t3;start_s3;s3_t1,5,source1_to_target1;source2_to_target3;source4_to_target2;source5_to_target3;source3_to_target1,source1;source2;source4;source5;source3,target1;target3;target2;target3;target1,5,s1_t1;s2_t3;s4_t2;s5_t3;s3_t1,s1;s2;s4;s5;s3,t1;t3;t2;t3;t1,s1_t1;s2_t3;s4_t2;s5_t3;s3_t1,5,5,197.49284,24.48005,"{""target1"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,4,5,3,1,3,2,3,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,FALSE,FALSE,0,FALSE,FALSE,0,Mixed Approach,1,Other,9,3.1978585,23.077,-1.40305
2672,A15Y215D57OSO,8e,8,start_s1;s1_t2;start_s2;s2_t3;start_s4;s4_t3;start_s3;s3_t1;start_s5;s5_t1,5,source1_to_target2;source2_to_target3;source4_to_target3;source3_to_target1;source5_to_target1,source1;source2;source4;source3;source5,target2;target3;target3;target1;target1,5,s1_t2;s2_t3;s4_t3;s3_t1;s5_t1,s1;s2;s4;s3;s5,t2;t3;t3;t1;t1,s1_t2;s2_t3;s4_t3;s3_t1;s5_t1,5,5,197.49284,13.68098,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source1"",""sub"":""1""}],""target3"":[{""id"":""source2"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,4,3,5,2,3,3,1,1,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,9,2.616006547,14.287,0.60602
2685,A15Y215D57OSO,9e,9,start_s1;s1_t3;start_s2;s2_t2;start_s3;s3_t1;start_s4;s4_t1;start_s5;s5_t3,5,source1_to_target3;source2_to_target2;source3_to_target1;source4_to_target1;source5_to_target3,source1;source2;source3;source4;source5,target3;target2;target1;target1;target3,5,s1_t3;s2_t2;s3_t1;s4_t1;s5_t3,s1;s2;s3;s4;s5,t3;t2;t1;t1;t3,s1_t3;s2_t2;s3_t1;s4_t1;s5_t3,5,5,197.49284,10.07699,"{""target1"":[{""id"":""source3"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}],""target2"":[{""id"":""source2"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,2,1,1,3,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,9,2.310254607,9.961,-0.11599
2698,A1601UNFFAAQO,10a,10,start_s1;s1_t3;start_s2;s2_t1;start_s3;s3_t3;start_s4;s4_t2;start_s5;s5_t1,5,source1_to_target3;source2_to_target1;source3_to_target3;source4_to_target2;source5_to_target1,source1;source2;source3;source4;source5,target3;target1;target3;target2;target1,5,s1_t3;s2_t1;s3_t3;s4_t2;s5_t1,s1;s2;s3;s4;s5,t3;t1;t3;t2;t1,s1_t3;s2_t1;s3_t3;s4_t2;s5_t1,5,1,437.37499,34.71908,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source5"",""sub"":""2""}],""target2"":[{""id"":""source4"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}]}",2,1,1,1,2,3,4,5,3,1,3,2,1,TRUE,FALSE,FALSE,FALSE,3,5,1,0,FALSE,FALSE,0,FALSE,FALSE,0,Source Focus,1,Source Focus,7,3.547289392,34.13,-0.58908
2711,A1601UNFFAAQO,1a,1,start_s1;s1_t3;start_s2;s2_t1;start_s3;s3_t1;start_s5;s5_t2;start_s4;s4_t3,5,source1_to_target3;source2_to_target1;source3_to_target1;source5_to_target2;source4_to_target3,source1;source2;source3;source5;source4,target3;target1;target1;target2;target3,5,s1_t3;s2_t1;s3_t1;s5_t2;s4_t3,s1;s2;s3;s5;s4,t3;t1;t1;t2;t3,s1_t3;s2_t1;s3_t1;s5_t2;s4_t3,5,1,437.37499,20.46382,"{""target1"":[{""id"":""source2"",""sub"":""1""},{""id"":""source3"",""sub"":""2""}],""target2"":[{""id"":""source5"",""sub"":""1""}],""target3"":[{""id"":""source1"",""sub"":""1""},{""id"":""source4"",""sub"":""2""}]}",2,1,1,1,2,3,5,4,3,1,1,2,3,FALSE,FALSE,FALSE,FALSE,3,5,0,0,TRUE,FALSE,1,FALSE,FALSE,0,Source Partial Focus,1,Source Focus,7,3.018658449,20.139,-0.32482
